[2022-5-16 11:52:3] method=GET path="/refresh" request-duration=0.0035ms
[2022-5-16 11:52:51] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-16 11:52:53] method=GET path="/refresh" request-duration=0.0016ms
[2022-5-16 11:52:58] method=DELETE path="/notifications/136" request-duration=0.0016ms
[2022-5-16 11:53:16] method=GET path="/refresh" request-duration=0.0014ms
[2022-5-16 11:53:53] method=DELETE path="/notifications/137" request-duration=0.0227ms
[2022-5-16 11:54:30] method=DELETE path="/notifications/138" request-duration=0.0239ms
[2022-5-16 11:55:28] method=GET path="/refresh" request-duration=0.0323ms
[2022-5-16 11:55:32] method=DELETE path="/notifications/139" request-duration=0.0029ms
[2022-5-16 11:56:14] method=GET path="/refresh" request-duration=0.0243ms
[2022-5-16 11:56:15] method=GET path="/todos" request-duration=0.0033ms
[2022-5-16 11:56:24] method=GET path="/todos" request-duration=0.0056ms
[2022-5-16 11:56:30] method=POST path="/todos" request-duration=0.0034ms
[2022-5-16 11:56:32] method=POST path="/todos" request-duration=0.0035ms
[2022-5-16 11:56:35] method=PUT path="/todos" request-duration=0.0028ms
[2022-5-16 11:56:36] method=PUT path="/todos" request-duration=0.0025ms
[2022-5-16 11:56:40] method=DELETE path="/notifications/140" request-duration=0.003ms
[2022-5-16 12:0:35] method=GET path="/refresh" request-duration=0.0049ms
[2022-5-16 12:0:35] method=GET path="/refresh" request-duration=0.0161ms
[2022-5-16 12:0:38] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-16 12:0:39] method=GET path="/refresh" request-duration=0.0014ms
[2022-5-16 12:0:45] method=GET path="/refresh" request-duration=0.0018ms
[2022-5-16 12:0:45] method=GET path="/refresh" request-duration=0.0029ms
[2022-5-16 12:0:48] method=GET path="/todos" request-duration=0.0014ms
[2022-5-16 12:0:49] method=GET path="/todos" request-duration=0.002ms
[2022-5-16 12:0:52] method=PUT path="/todos" request-duration=0.0017ms
[2022-5-16 12:0:54] method=DELETE path="/notifications/141" request-duration=0.0013ms
[2022-5-16 12:0:57] method=POST path="/todos" request-duration=0.0017ms
[2022-5-16 12:0:58] method=POST path="/todos" request-duration=0.0014ms
[2022-5-16 12:1:0] method=POST path="/todos" request-duration=0.0016ms
